Item:626210124; Precio:169173; Cant:4
Item:626210125; Precio:169173; Cant:0
Item:626230146; Precio:113575; Cant:31
Item:626230147; Precio:57436; Cant:20
Item:626230149; Precio:71911; Cant:12
Item:626230150; Precio:3688; Cant:25
Item:626230151; Precio:113575; Cant:9
Item:626230153; Precio:3688; Cant:21
Item:626230154; Precio:85476; Cant:0
Item:111100001; Precio:47842; Cant:107
Item:111100003; Precio:224892; Cant:241
Item:111100004; Precio:50233; Cant:96
Item:111100005; Precio:55837; Cant:0
Item:111100006; Precio:242268; Cant:146
Item:111100009; Precio:132321; Cant:0
Item:111100040; Precio:71829; Cant:83
Item:111100045; Precio:144423; Cant:118
Item:111100049; Precio:15659; Cant:1197
Item:111100052; Precio:71982; Cant:26
Item:111100062; Precio:16079; Cant:63
Item:111100063; Precio:200491; Cant:25
Item:111100065; Precio:338142; Cant:110
Item:111100066; Precio:223471; Cant:32
Item:111100067; Precio:73051; Cant:46
Item:111100071; Precio:295428; Cant:15
Item:111100076; Precio:159535; Cant:51
Item:111100077; Precio:18001; Cant:1893
Item:111100079; Precio:274562; Cant:90
Item:111100080; Precio:454263; Cant:22
Item:111100084; Precio:169809; Cant:25
Item:111100086; Precio:248577; Cant:116
Item:111100089; Precio:153029; Cant:38
Item:111100090; Precio:18574; Cant:223
Item:111100092; Precio:18791; Cant:0
Item:111100093; Precio:244745; Cant:119
Item:111100097; Precio:69028; Cant:107
Item:111100098; Precio:67093; Cant:0
Item:111100101; Precio:15353; Cant:155
Item:111100105; Precio:76654; Cant:28
Item:111100106; Precio:216393; Cant:41
Item:111100110; Precio:215336; Cant:47
Item:111100124; Precio:222682; Cant:37
Item:111100127; Precio:253173; Cant:28
Item:111100130; Precio:137000; Cant:33
Item:111100138; Precio:77711; Cant:5
Item:111100142; Precio:16321; Cant:52
Item:111100143; Precio:74554; Cant:44
Item:111100152; Precio:18613; Cant:0
Item:111100154; Precio:141291; Cant:0
Item:111100157; Precio:250385; Cant:49
Item:111100159; Precio:133067; Cant:5
Item:111100164; Precio:17365; Cant:82
Item:111100168; Precio:389614; Cant:7
Item:111100172; Precio:14254; Cant:0
Item:111100173; Precio:144365; Cant:124
Item:111100174; Precio:59706; Cant:82
Item:111100175; Precio:126220; Cant:0
Item:111100176; Precio:22495; Cant:0
Item:111100177; Precio:132317; Cant:39
Item:111100178; Precio:17822; Cant:51
Item:111100179; Precio:67869; Cant:34
Item:111100181; Precio:196632; Cant:11
Item:111100183; Precio:213579; Cant:0
Item:111100188; Precio:8280; Cant:367
Item:111100191; Precio:209948; Cant:0
Item:111100192; Precio:131212; Cant:0
Item:111100193; Precio:225228; Cant:5
Item:111100194; Precio:162425; Cant:15
Item:111100197; Precio:192396; Cant:0
Item:111100198; Precio:320678; Cant:4
Item:111100199; Precio:67287; Cant:0
Item:111100200; Precio:163859; Cant:20
Item:111100201; Precio:62179; Cant:0
Item:111100202; Precio:72147; Cant:0
Item:111100203; Precio:174014; Cant:0
Item:111100204; Precio:183173; Cant:10
Item:111100205; Precio:77008; Cant:16
Item:111100211; Precio:144443; Cant:104
Item:111100212; Precio:23537; Cant:17
Item:111100213; Precio:45169; Cant:10
Item:111100214; Precio:79534; Cant:83
Item:111100215; Precio:178848; Cant:161
Item:111100217; Precio:12522; Cant:19
Item:111100218; Precio:24679; Cant:26
Item:111100219; Precio:47453; Cant:27
Item:111100220; Precio:83923; Cant:108
Item:111100231; Precio:147314; Cant:96
Item:111100232; Precio:12880; Cant:15
Item:111100233; Precio:24679; Cant:22
